ANO;MES;ESTADO;TEMPO_MEDIO_ENTREGA
2017;3;AM;26
2017;2;AM;91
2018;2;BA;29
2017;5;BA;14
2017;12;BA;18
2017;7;BA;13
2018;4;BA;11
2018;6;BA;12
2017;9;BA;13
2018;5;BA;7
2018;7;BA;12
2017;10;BA;11
2018;1;BA;15
2017;4;BA;14
2017;6;BA;15
2018;3;BA;16
2018;8;BA;11
2017;11;BA;14
2017;1;BA;22
2016;10;BA;21
2017;3;BA;11
2017;8;BA;12
2017;2;BA;12
2017;8;CE;10
2017;3;CE;17
2018;5;CE;13
2017;9;CE;19
2017;4;CE;19
2018;2;CE;26
2017;5;CE;63
2017;12;CE;12
2018;4;CE;16
2017;7;CE;19
2018;1;CE;22
2017;2;CE;15
2018;6;CE;11
2017;1;CE;12
2017;10;CE;13
2018;8;CE;14
2017;11;CE;13
2018;7;CE;14
2018;3;CE;17
2017;6;CE;10
2018;5;DF;10
2017;8;DF;10
2017;12;DF;17
2017;11;DF;14
2017;3;DF;13
2016;10;DF;10
2017;1;DF;11
2018;4;DF;11
2018;6;DF;11
2017;9;DF;10
2017;2;DF;13
2017;7;DF;9
2018;1;DF;14
2017;4;DF;16
2018;3;DF;15
2018;8;DF;9
2017;6;DF;12
2018;2;DF;15
2017;5;DF;9
2017;10;DF;10
2018;7;DF;9
2018;4;ES;15
2017;7;ES;12
2017;2;ES;13
2017;8;ES;10
2017;3;ES;12
2017;10;ES;12
2018;7;ES;10
2016;10;ES;25
2017;5;ES;9
2018;2;ES;15
2017;12;ES;16
2018;3;ES;14
2017;6;ES;11
2018;8;ES;10
2017;11;ES;16
2018;5;ES;10
2017;1;ES;11
2018;6;ES;9
2017;4;ES;12
2017;9;ES;12
2018;1;ES;15
2017;6;GO;12
2017;8;GO;13
2018;5;GO;11
2017;1;GO;14
2018;6;GO;10
2017;11;GO;13
2018;8;GO;7
2017;12;GO;14
2017;10;GO;11
2018;3;GO;18
2017;2;GO;8
2017;7;GO;14
2018;4;GO;10
2017;3;GO;12
2018;2;GO;15
2017;5;GO;12
2018;7;GO;10
2017;9;GO;11
2017;4;GO;15
2018;1;GO;16
2018;7;MA;20
2018;8;MA;9
2018;3;MA;23
2018;4;MA;18
2018;6;MA;12
2018;5;MA;23
2018;1;MA;17
2018;2;MA;19
2017;9;MG;11
2018;6;MG;9
2017;12;MG;16
2017;5;MG;13
